No,科目,種類,プロジェクト,タスク,問題文,解答操作
1,PowerPoint365,模擬試験①,1,1,「表スライド」のスライドをスライド4に追加してください。,スライド3を選択＞ホームタブ＞「新しいスライド」ボタンの文字部分を選択＞「表スライド」を選択
2,PowerPoint365,模擬試験①,1,2,スライド2を複製してください。,スライド2を選択＞「新しいスライド」ボタンの文字部分を選択＞「選択したスライドの複製」を選択
3,PowerPoint365,模擬試験①,1,3,複製したスライドを 非表示 にしてください,スライド3を右クリック＞「非表示スライドに設定」を選択
4,PowerPoint365,模擬試験①,1,4,非表示にしたスライドを削除してください。,スライド3を選択＞Deleteキーを入力
5,PowerPoint365,模擬試験①,1,5,スライド2のレイアウトを「表スライド」に変更してください。,スライド2を選択＞ホームタブ＞「レイアウト」ボタンを選択＞「表スライド」を選択
6,PowerPoint365,模擬試験①,1,6,スライド3の箇条書きを2段組みにしてください。,スライド3を選択＞箇条書きプレースホルダーを選択＞ホームタブ＞「段の追加または削除」ボタンを選択＞「2段組み」を選択
7,PowerPoint365,模擬試験①,1,7,スライド1枚目の吹き出しに「教育者必見」と入力します。,スライド1を選択＞吹き出し図形を選択＞「教育者必見」を入力＞空白部分を選択して図形の選択を解除
8,PowerPoint365,模擬試験①,2,1,すべてのスライドに画面切り替えを「プッシュ」にし、方向を右からに設定してください。,画面切り替えタブ＞画面切り替えの「プッシュ」を選択＞「効果のオプション」ボタンを選択＞「右から」を選択＞「すべてに適用」ボタンを選択
9,PowerPoint365,模擬試験①,2,2,すべての画面切り替えを3秒に設定してください。,画面切り替えタブ＞期間テキストボックスを選択＞「3」と入力＞「すべてに適用」ボタンを選択
10,PowerPoint365,模擬試験①,2,3,スライド3，4，5に「渦巻き」の画面切り替えを設定してください。,スライド3を選択＞「Shift」キーを押しながらスライド5を選択＞画面切り替えタブを選択＞画面切り替え一覧ボタンを選択＞渦巻き」を選択
11,PowerPoint365,模擬試験①,2,4,スライド4の3Ｄモデルに「ターンテーブル」のアニメーションを設定してください,スライド4を選択＞3Dモデルを選択＞アニメーションタブ＞「ターンテーブル」選択＞空白を選択して選択解除
12,PowerPoint365,模擬試験①,2,5,スライド2の人型の画像のアニメーションの効果を「ワイプアウト（横）」に変更し、継続時間を2秒に設定してください。,スライド2選択＞画像選択＞アニメーションタブ＞「効果のオプション」ボタンを選択＞「ワイプアウト（横）」選択＞継続時間テキストボックスを選択＞「2」と入力＞Enterキーで決定
13,PowerPoint365,模擬試験①,2,6,スライド「今年度募集について」の箇条書きのアニメーションの図形をひし形で表示され、箇条書きの段落がクリックするたびに表示されるように設定してください。,スライド4選択＞テキストプレースホルダーを選択＞アニメーションタブ＞「効果のオプション」ボタンを選択＞「ひし形」を選択＞「効果のオプション」ボタンを選択＞「段落別」を選択
14,PowerPoint365,模擬試験①,2,7,スライド6の星の画像にアニメーションの軌跡「プラス」を設定してください。,スライド6を選択＞星の画像選択＞アニメーションタブ＞アニメーション一覧ボタンを選択＞「その他のアニメーションの軌跡効果」を選択＞「プラス」を選択＞「OK」ボタンを選択＞空白を選択して選択解除
15,PowerPoint365,模擬試験①,3,1,スライド5にSmartArt「矢印と長方形のプロセス」の手順を追加して、「1F受付」、「面接室」を追加してください。記入されていないものは削除してください。,スライド5を選択＞Smart Artグラフィックの挿入アイコンを選択＞「手順」を選択＞「矢印と長方形のプロセス」を選択＞OKボタンを選択＞Smart Artグラフィックの一番上のテキストボックスを選択＞「1F受付」と入力＞真ん中のテキストボックスを選択＞「面接室」と入力＞下のテキストボックスを選択＞Backspaceキーで削除＞Smart Artの選択解除
16,PowerPoint365,模擬試験①,3,2,スライド5のSmartArtの色を「塗りつぶし アクセント5」に変更してください。,スライド5選択＞Smart Art選択＞Smart Artのデザインタブ＞「色の変更」ボタンを選択＞「塗りつぶし アクセント5」を選択
17,PowerPoint365,模擬試験①,3,3,スライド6の箇条書きを「縦方向カーブリスト」のSmartArtに変更してください。,スライド6選択＞箇条書きプレースホルダーを選択＞ホームタブ＞Smart Artグラフィックに変換」ボタンを選択＞「その他Smart Artグラフィック」選択＞リスト内の「縦方向カーブリスト」を選択＞OKボタンを選択＞Smart Artの選択解除
18,PowerPoint365,模擬試験①,3,4,スライド1枚目にスライド「この機能が使える！」、「受験当日の流れ」のスライドズームを挿入します。1枚目は含めません。文字より下に配置し2つのスライドズームが重ならないようにます。,スライド1を選択＞挿入タブ＞「ズーム」ボタンを選択＞「スライドズーム」を選択＞「この機能が使える！」と「受験当日の流れ」スライドを選択＞「挿入」ボタンを選択＞2枚のスライドズームをドラッグで移動＞スライドズームの選択解除＞重ならないように1枚ずつ移動
19,PowerPoint365,模擬試験①,4,1,スライド1の画像に「四角形 ぼかし」のスタイルに変更し、「フィルム粒子」のアート効果に設定してください。,スライド1を選択＞画像を選択＞図の形式タブ＞図のスタイル一覧ボタンを選択＞「四角形 ぼかし」を選択＞「アート効果」ボタンを選択＞「フィルム粒子」を選択
20,PowerPoint365,模擬試験①,4,2,スライド1枚目の画像の図の効果を「反射（中）、オフセットなし」に設定してください。,スライド1を選択＞画像を選択＞図の形式タブ＞「図の効果」ボタンを選択＞「反射」を選択＞「反射（中）：オフセットなし」を選択
21,PowerPoint365,模擬試験①,4,3,スライド「教育理念」の子供の画像の代替テキストを装飾化し、スクリーンリーダーに表示させないようにします。,スライド1を選択＞画像を選択＞図の形式タブ＞「代替テキスト」ボタンを選択＞「装飾用にする」にチェック＞代替テキスト作業ウィンドウを閉じる>空白部分をクリックして選択解除
22,PowerPoint365,模擬試験①,4,4,スライド「THANK　YOU」の一番右の画像をスライドに合わせるようにトリミングしてください。画像の大きさは変更しません。,スライド5を選択＞右の画像を選択＞図の形式タブ＞「トリミング」のアイコン部分を選択＞右側をスライドに合わせるようにドラッグ＞「トリミング」のアイコン部分を選択
23,PowerPoint365,模擬試験①,4,5,スライド5の右の画像を左の画像の上端に合わせてください。水平方向には動かさないようにします。,スライド5を選択＞画像を選択＞Shiftキーを押しながらもう一つの画像を選択＞図の形式タブ＞「配置」ボタンを選択＞「上揃え」を選択＞画像の選択解除
24,PowerPoint365,模擬試験①,4,6,スライド3の図形を手前からスマホ、タブレット、モニターのなるように重ねの順番を変更してください。,スライド3を選択＞「スマホ」の図形を選択＞図の形式タブ＞「前面へ移動」の下矢印を選択＞「最前面へ移動」選択＞「モニター」の図形選択＞「背面へ移動」の下矢印選択＞「最背面へ移動」を選択＞図形の選択解除
25,PowerPoint365,模擬試験①,5,1,1ページに3スライドが表示される配布資料にし部単位で4部印刷するように設定してください。,ファイルタブ＞「印刷」を選択＞「フルページサイズのスライド」を選択＞配布資料「3スライド」を選択＞「部単位で印刷」を選択＞部数の欄選択＞「4」と入力＞「ホームに戻る」を選択
26,PowerPoint365,模擬試験①,5,2,スライド5の「いつからでも受講可能です」という文字の塗りつぶしを「茶、テキスト2」に設定してください。,スライド5を選択＞「いつからでも受験可能です」のテキストボックスを選択＞ドラッグで文字を選択＞図形の書式タブ＞「文字の塗りつぶし」ボタンの文字部分を選択＞1行目から「茶、テキスト2」を選択＞空白部分をクリックして選択解除
27,PowerPoint365,模擬試験①,5,3,4枚目の稲妻の図形をスマイルに変更してください。,スライド4を選択＞図形を選択＞図形の書式タブ＞「図形の編集」ボタン＞「図形の変更」を選択＞「スマイル」を選択＞空白部分をクリックして選択解除
28,PowerPoint365,模擬試験①,5,4,スライド4の小さい雲の大きさを他の雲と同じ幅にしてください。,スライド4選択＞大きい雲の画像選択＞図の形式タブ＞幅の数値の確認もしくはコピー＞小さい雲の画像選択＞幅のテキストボックスを選択＞数値入力もしくは貼り付け＞Enterキーで決定＞空白部分をクリックして選択解除
29,PowerPoint365,模擬試験①,5,5,スライド3枚目の3つの図形をグループ化してください。,スライド3を選択＞画像選択＞Shiftキーを押しながら2枚目画像選択＞Shiftキーを押しながら3枚目画像選択＞図形の書式タブ＞グループ化」ボタン＞「グループ化」選択＞空白部分をクリックして選択解除
30,PowerPoint365,模擬試験①,6,1,スライド1にコメント「MOSの説明は詳しく」を挿入してください。,スライド1を選択＞校閲タブ＞「新しいコメント」ボタンを選択＞「MOSの説明は詳しく」を入力＞「コメントを投稿する」ボタンを選択>コメント作業ウィンドウを閉じる
