no,style_family,internal_name,name_local,gallery_name_mos
1,淡色,TableStyleLight1,テーブル スタイル (淡色) 1,白、テーブルスタイル（淡色）1
2,淡色,TableStyleLight2,テーブル スタイル (淡色) 2,薄い青、テーブルスタイル（淡色）2
3,淡色,TableStyleLight3,テーブル スタイル (淡色) 3,薄いオレンジ、テーブルスタイル（淡色）3
4,淡色,TableStyleLight4,テーブル スタイル (淡色) 4,白、テーブルスタイル（淡色）4
5,淡色,TableStyleLight5,テーブル スタイル (淡色) 5,薄い黄、テーブルスタイル（淡色）5
6,淡色,TableStyleLight6,テーブル スタイル (淡色) 6,薄い青、テーブルスタイル（淡色）6
7,淡色,TableStyleLight7,テーブル スタイル (淡色) 7,薄い緑、テーブルスタイル（淡色）7
8,淡色,TableStyleLight8,テーブル スタイル (淡色) 8,白、テーブルスタイル（淡色）8
9,淡色,TableStyleLight9,テーブル スタイル (淡色) 9,青、テーブルスタイル（淡色）9
10,淡色,TableStyleLight10,テーブル スタイル (淡色) 10,オレンジ、テーブルスタイル（淡色）10
11,淡色,TableStyleLight11,テーブル スタイル (淡色) 11,白、テーブルスタイル（淡色）11
12,淡色,TableStyleLight12,テーブル スタイル (淡色) 12,ゴールド、テーブルスタイル（淡色）12
13,淡色,TableStyleLight13,テーブル スタイル (淡色) 13,青、テーブルスタイル（淡色）13
14,淡色,TableStyleLight14,テーブル スタイル (淡色) 14,緑、テーブルスタイル（淡色）14
15,淡色,TableStyleLight15,テーブル スタイル (淡色) 15,白、テーブルスタイル（淡色）15
16,淡色,TableStyleLight16,テーブル スタイル (淡色) 16,薄い青、テーブルスタイル（淡色）16
17,淡色,TableStyleLight17,テーブル スタイル (淡色) 17,薄いオレンジ、テーブルスタイル（淡色）17
18,淡色,TableStyleLight18,テーブル スタイル (淡色) 18,白、テーブルスタイル（淡色）18
19,淡色,TableStyleLight19,テーブル スタイル (淡色) 19,薄い黄、テーブルスタイル（淡色）19
20,淡色,TableStyleLight20,テーブル スタイル (淡色) 20,薄い青、テーブルスタイル（淡色）20
21,淡色,TableStyleLight21,テーブル スタイル (淡色) 21,薄い緑、テーブルスタイル（淡色）21
22,中間,TableStyleMedium1,テーブル スタイル (中間) 1,白、テーブルスタイル（中間）1
23,中間,TableStyleMedium2,テーブル スタイル (中間) 2,青、テーブルスタイル（中間）2
24,中間,TableStyleMedium3,テーブル スタイル (中間) 3,オレンジ、テーブルスタイル（中間）3
25,中間,TableStyleMedium4,テーブル スタイル (中間) 4,白、テーブルスタイル（中間）4
26,中間,TableStyleMedium5,テーブル スタイル (中間) 5,ゴールド、テーブルスタイル（中間）5
27,中間,TableStyleMedium6,テーブル スタイル (中間) 6,青、テーブルスタイル（中間）6
28,中間,TableStyleMedium7,テーブル スタイル (中間) 7,緑、テーブルスタイル（中間）7
29,中間,TableStyleMedium8,テーブル スタイル (中間) 8,薄い灰色、テーブルスタイル（中間）8
30,中間,TableStyleMedium9,テーブル スタイル (中間) 9,青、テーブルスタイル（中間）9
31,中間,TableStyleMedium10,テーブル スタイル (中間) 10,オレンジ、テーブルスタイル（中間）10
32,中間,TableStyleMedium11,テーブル スタイル (中間) 11,薄い灰色、テーブルスタイル（中間）11
33,中間,TableStyleMedium12,テーブル スタイル (中間) 12,ゴールド、テーブルスタイル（中間）12
34,中間,TableStyleMedium13,テーブル スタイル (中間) 13,青、テーブルスタイル（中間）13
35,中間,TableStyleMedium14,テーブル スタイル (中間) 14,緑、テーブルスタイル（中間）14
36,中間,TableStyleMedium15,テーブル スタイル (中間) 15,白、テーブルスタイル（中間）15
37,中間,TableStyleMedium16,テーブル スタイル (中間) 16,青、テーブルスタイル（中間）16
38,中間,TableStyleMedium17,テーブル スタイル (中間) 17,オレンジ、テーブルスタイル（中間）17
39,中間,TableStyleMedium18,テーブル スタイル (中間) 18,白、テーブルスタイル（中間）18
40,中間,TableStyleMedium19,テーブル スタイル (中間) 19,ゴールド、テーブルスタイル（中間）19
41,中間,TableStyleMedium20,テーブル スタイル (中間) 20,青、テーブルスタイル（中間）20
42,中間,TableStyleMedium21,テーブル スタイル (中間) 21,緑、テーブルスタイル（中間）21
43,中間,TableStyleMedium22,テーブル スタイル (中間) 22,薄い灰色、テーブルスタイル（中間）22
44,中間,TableStyleMedium23,テーブル スタイル (中間) 23,薄い青、テーブルスタイル（中間）23
45,中間,TableStyleMedium24,テーブル スタイル (中間) 24,薄いオレンジ、テーブルスタイル（中間）24
46,中間,TableStyleMedium25,テーブル スタイル (中間) 25,薄い灰色、テーブルスタイル（中間）25
47,中間,TableStyleMedium26,テーブル スタイル (中間) 26,薄い黄、テーブルスタイル（中間）26
48,中間,TableStyleMedium27,テーブル スタイル (中間) 27,薄い青、テーブルスタイル（中間）27
49,中間,TableStyleMedium28,テーブル スタイル (中間) 28,薄い緑、テーブルスタイル（中間）28
50,濃色,TableStyleDark1,テーブル スタイル (濃色) 1,濃い灰色、テーブルスタイル（濃色）1
51,濃色,TableStyleDark2,テーブル スタイル (濃色) 2,濃い青、テーブルスタイル（濃色）2
52,濃色,TableStyleDark3,テーブル スタイル (濃色) 3,茶、テーブルスタイル（濃色）3
53,濃色,TableStyleDark4,テーブル スタイル (濃色) 4,灰色、テーブルスタイル（濃色）4
54,濃色,TableStyleDark5,テーブル スタイル (濃色) 5,濃い黄、テーブルスタイル（濃色）5
55,濃色,TableStyleDark6,テーブル スタイル (濃色) 6,青、テーブルスタイル（濃色）6
56,濃色,TableStyleDark7,テーブル スタイル (濃色) 7,濃い緑、テーブルスタイル（濃色）7
57,濃色,TableStyleDark8,テーブル スタイル (濃色) 8,薄い灰色、テーブルスタイル（濃色）8
58,濃色,TableStyleDark9,テーブル スタイル (濃色) 9,オレンジ、テーブルスタイル（濃色）9
59,濃色,TableStyleDark10,テーブル スタイル (濃色) 10,ゴールド、テーブルスタイル（濃色）10
60,濃色,TableStyleDark11,テーブル スタイル (濃色) 11,緑、テーブルスタイル（濃色）11
