no,style_family,internal_name,name_local,gallery_name_mos
1,中間,TableStyleMedium1,テーブル スタイル (中間) 1,白、テーブルスタイル（中間）1
2,中間,TableStyleMedium2,テーブル スタイル (中間) 2,青、テーブルスタイル（中間）2
3,中間,TableStyleMedium3,テーブル スタイル (中間) 3,オレンジ、テーブルスタイル（中間）3
4,中間,TableStyleMedium4,テーブル スタイル (中間) 4,白、テーブルスタイル（中間）4
5,中間,TableStyleMedium5,テーブル スタイル (中間) 5,ゴールド、テーブルスタイル（中間）5
6,中間,TableStyleMedium6,テーブル スタイル (中間) 6,青、テーブルスタイル（中間）6
7,中間,TableStyleMedium7,テーブル スタイル (中間) 7,緑、テーブルスタイル（中間）7
8,中間,TableStyleMedium8,テーブル スタイル (中間) 8,薄い灰色、テーブルスタイル（中間）8
9,中間,TableStyleMedium9,テーブル スタイル (中間) 9,青、テーブルスタイル（中間）9
10,中間,TableStyleMedium10,テーブル スタイル (中間) 10,オレンジ、テーブルスタイル（中間）10
11,中間,TableStyleMedium11,テーブル スタイル (中間) 11,薄い灰色、テーブルスタイル（中間）11
12,中間,TableStyleMedium12,テーブル スタイル (中間) 12,ゴールド、テーブルスタイル（中間）12
13,中間,TableStyleMedium13,テーブル スタイル (中間) 13,青、テーブルスタイル（中間）13
14,中間,TableStyleMedium14,テーブル スタイル (中間) 14,緑、テーブルスタイル（中間）14
15,中間,TableStyleMedium15,テーブル スタイル (中間) 15,白、テーブルスタイル（中間）15
16,中間,TableStyleMedium16,テーブル スタイル (中間) 16,青、テーブルスタイル（中間）16
17,中間,TableStyleMedium17,テーブル スタイル (中間) 17,オレンジ、テーブルスタイル（中間）17
18,中間,TableStyleMedium18,テーブル スタイル (中間) 18,白、テーブルスタイル（中間）18
19,中間,TableStyleMedium19,テーブル スタイル (中間) 19,ゴールド、テーブルスタイル（中間）19
20,中間,TableStyleMedium20,テーブル スタイル (中間) 20,青、テーブルスタイル（中間）20
21,中間,TableStyleMedium21,テーブル スタイル (中間) 21,緑、テーブルスタイル（中間）21
22,中間,TableStyleMedium22,テーブル スタイル (中間) 22,薄い灰色、テーブルスタイル（中間）22
23,中間,TableStyleMedium23,テーブル スタイル (中間) 23,薄い青、テーブルスタイル（中間）23
24,中間,TableStyleMedium24,テーブル スタイル (中間) 24,薄いオレンジ、テーブルスタイル（中間）24
25,中間,TableStyleMedium25,テーブル スタイル (中間) 25,薄い灰色、テーブルスタイル（中間）25
26,中間,TableStyleMedium26,テーブル スタイル (中間) 26,薄い黄、テーブルスタイル（中間）26
27,中間,TableStyleMedium27,テーブル スタイル (中間) 27,薄い青、テーブルスタイル（中間）27
28,中間,TableStyleMedium28,テーブル スタイル (中間) 28,薄い緑、テーブルスタイル（中間）28
