no,style_family,style_family_en,style_number,internal_name,color_name,gallery_name_mos,gallery_name_raw,name_local,screenshot
1,淡色,Light,1,TableStyleLight1,白,白、テーブルスタイル（淡色）1,"白, テーブル スタイル (淡色) 1",テーブル スタイル (淡色) 1,screenshots/TableStyleLight1.png
2,淡色,Light,2,TableStyleLight2,薄い水色,薄い水色、テーブルスタイル（淡色）2,"薄い水色, テーブル スタイル (淡色) 2",テーブル スタイル (淡色) 2,screenshots/TableStyleLight2.png
3,淡色,Light,3,TableStyleLight3,薄いオレンジ,薄いオレンジ、テーブルスタイル（淡色）3,"薄いオレンジ, テーブル スタイル (淡色) 3",テーブル スタイル (淡色) 3,screenshots/TableStyleLight3.png
4,淡色,Light,4,TableStyleLight4,薄い緑,薄い緑、テーブルスタイル（淡色）4,"薄い緑, テーブル スタイル (淡色) 4",テーブル スタイル (淡色) 4,screenshots/TableStyleLight4.png
5,淡色,Light,5,TableStyleLight5,薄い水色,薄い水色、テーブルスタイル（淡色）5,"薄い水色, テーブル スタイル (淡色) 5",テーブル スタイル (淡色) 5,screenshots/TableStyleLight5.png
6,淡色,Light,6,TableStyleLight6,ピンク,ピンク、テーブルスタイル（淡色）6,"ピンク, テーブル スタイル (淡色) 6",テーブル スタイル (淡色) 6,screenshots/TableStyleLight6.png
7,淡色,Light,7,TableStyleLight7,薄い緑,薄い緑、テーブルスタイル（淡色）7,"薄い緑, テーブル スタイル (淡色) 7",テーブル スタイル (淡色) 7,screenshots/TableStyleLight7.png
8,淡色,Light,8,TableStyleLight8,白,白、テーブルスタイル（淡色）8,"白, テーブル スタイル (淡色) 8",テーブル スタイル (淡色) 8,screenshots/TableStyleLight8.png
9,淡色,Light,9,TableStyleLight9,濃い青緑,濃い青緑、テーブルスタイル（淡色）9,"濃い青緑, テーブル スタイル (淡色) 9",テーブル スタイル (淡色) 9,screenshots/TableStyleLight9.png
10,淡色,Light,10,TableStyleLight10,オレンジ,オレンジ、テーブルスタイル（淡色）10,"オレンジ, テーブル スタイル (淡色) 10",テーブル スタイル (淡色) 10,screenshots/TableStyleLight10.png
11,淡色,Light,11,TableStyleLight11,濃い緑,濃い緑、テーブルスタイル（淡色）11,"濃い緑, テーブル スタイル (淡色) 11",テーブル スタイル (淡色) 11,screenshots/TableStyleLight11.png
