no,style_family,internal_name,gallery_name_mos
1,淡色,TableStyleLight1,白、テーブルスタイル（淡色）1
2,淡色,TableStyleLight2,薄い水色、テーブルスタイル（淡色）2
3,淡色,TableStyleLight3,薄いオレンジ、テーブルスタイル（淡色）3
4,淡色,TableStyleLight4,薄い緑、テーブルスタイル（淡色）4
5,淡色,TableStyleLight5,薄い水色、テーブルスタイル（淡色）5
6,淡色,TableStyleLight6,ピンク、テーブルスタイル（淡色）6
7,淡色,TableStyleLight7,薄い緑、テーブルスタイル（淡色）7
8,淡色,TableStyleLight8,白、テーブルスタイル（淡色）8
9,淡色,TableStyleLight9,濃い青緑、テーブルスタイル（淡色）9
10,淡色,TableStyleLight10,オレンジ、テーブルスタイル（淡色）10
11,淡色,TableStyleLight11,濃い緑、テーブルスタイル（淡色）11
12,淡色,TableStyleLight12,水色、テーブルスタイル（淡色）12
13,淡色,TableStyleLight13,プラム、テーブルスタイル（淡色）13
14,淡色,TableStyleLight14,緑、テーブルスタイル（淡色）14
15,淡色,TableStyleLight15,白、テーブルスタイル（淡色）15
16,淡色,TableStyleLight16,薄い水色、テーブルスタイル（淡色）16
17,淡色,TableStyleLight17,薄いオレンジ、テーブルスタイル（淡色）17
18,淡色,TableStyleLight18,薄い緑、テーブルスタイル（淡色）18
19,淡色,TableStyleLight19,薄い水色、テーブルスタイル（淡色）19
20,淡色,TableStyleLight20,ピンク、テーブルスタイル（淡色）20
21,淡色,TableStyleLight21,薄い緑、テーブルスタイル（淡色）21
