no,style_family,internal_name,gallery_name_mos
1,淡色,TableStyleLight1,白、テーブルスタイル（淡色）1
2,淡色,TableStyleLight2,薄い水色、テーブルスタイル（淡色）2
3,淡色,TableStyleLight3,薄いオレンジ、テーブルスタイル（淡色）3
4,淡色,TableStyleLight4,薄い緑、テーブルスタイル（淡色）4
5,淡色,TableStyleLight5,薄い水色、テーブルスタイル（淡色）5
6,淡色,TableStyleLight6,ピンク、テーブルスタイル（淡色）6
7,淡色,TableStyleLight7,薄い緑、テーブルスタイル（淡色）7
8,淡色,TableStyleLight8,白、テーブルスタイル（淡色）8
9,淡色,TableStyleLight9,濃い青緑、テーブルスタイル（淡色）9
10,淡色,TableStyleLight10,オレンジ、テーブルスタイル（淡色）10
11,淡色,TableStyleLight11,濃い緑、テーブルスタイル（淡色）11
12,淡色,TableStyleLight12,水色、テーブルスタイル（淡色）12
13,淡色,TableStyleLight13,プラム、テーブルスタイル（淡色）13
14,淡色,TableStyleLight14,緑、テーブルスタイル（淡色）14
15,淡色,TableStyleLight15,白、テーブルスタイル（淡色）15
16,淡色,TableStyleLight16,薄い水色、テーブルスタイル（淡色）16
17,淡色,TableStyleLight17,薄いオレンジ、テーブルスタイル（淡色）17
18,淡色,TableStyleLight18,薄い緑、テーブルスタイル（淡色）18
19,淡色,TableStyleLight19,薄い水色、テーブルスタイル（淡色）19
20,淡色,TableStyleLight20,ピンク、テーブルスタイル（淡色）20
21,淡色,TableStyleLight21,薄い緑、テーブルスタイル（淡色）21
1,中間,TableStyleMedium1,白、テーブルスタイル（中間）1
2,中間,TableStyleMedium2,濃い青緑、テーブルスタイル（中間）2
3,中間,TableStyleMedium3,オレンジ、テーブルスタイル（中間）3
4,中間,TableStyleMedium4,濃い緑、テーブルスタイル（中間）4
5,中間,TableStyleMedium5,水色、テーブルスタイル（中間）5
6,中間,TableStyleMedium6,プラム、テーブルスタイル（中間）6
7,中間,TableStyleMedium7,緑、テーブルスタイル（中間）7
8,中間,TableStyleMedium8,薄い灰色、テーブルスタイル（中間）8
9,中間,TableStyleMedium9,濃い青緑、テーブルスタイル（中間）9
10,中間,TableStyleMedium10,オレンジ、テーブルスタイル（中間）10
11,中間,TableStyleMedium11,濃い緑、テーブルスタイル（中間）11
12,中間,TableStyleMedium12,水色、テーブルスタイル（中間）12
13,中間,TableStyleMedium13,プラム、テーブルスタイル（中間）13
14,中間,TableStyleMedium14,緑、テーブルスタイル（中間）14
15,中間,TableStyleMedium15,白、テーブルスタイル（中間）15
16,中間,TableStyleMedium16,濃い青緑、テーブルスタイル（中間）16
17,中間,TableStyleMedium17,オレンジ、テーブルスタイル（中間）17
18,中間,TableStyleMedium18,濃い緑、テーブルスタイル（中間）18
19,中間,TableStyleMedium19,水色、テーブルスタイル（中間）19
20,中間,TableStyleMedium20,プラム、テーブルスタイル（中間）20
21,中間,TableStyleMedium21,緑、テーブルスタイル（中間）21
22,中間,TableStyleMedium22,薄い灰色、テーブルスタイル（中間）22
23,中間,TableStyleMedium23,薄い水色、テーブルスタイル（中間）23
24,中間,TableStyleMedium24,薄いオレンジ、テーブルスタイル（中間）24
25,中間,TableStyleMedium25,薄い緑、テーブルスタイル（中間）25
26,中間,TableStyleMedium26,薄い水色、テーブルスタイル（中間）26
27,中間,TableStyleMedium27,ピンク、テーブルスタイル（中間）27
28,中間,TableStyleMedium28,薄い緑、テーブルスタイル（中間）28
1,濃色,TableStyleDark1,濃い灰色、テーブルスタイル（濃色）1
2,濃色,TableStyleDark2,濃い青緑、テーブルスタイル（濃色）2
3,濃色,TableStyleDark3,茶、テーブルスタイル（濃色）3
4,濃色,TableStyleDark4,濃い緑、テーブルスタイル（濃色）4
5,濃色,TableStyleDark5,水色、テーブルスタイル（濃色）5
6,濃色,TableStyleDark6,プラム、テーブルスタイル（濃色）6
7,濃色,TableStyleDark7,濃い緑、テーブルスタイル（濃色）7
8,濃色,TableStyleDark8,薄い灰色、テーブルスタイル（濃色）8
9,濃色,TableStyleDark9,オレンジ、テーブルスタイル（濃色）9
10,濃色,TableStyleDark10,水色、テーブルスタイル（濃色）10
11,濃色,TableStyleDark11,緑、テーブルスタイル（濃色）11
