no,style_family,internal_name,name_local,gallery_name_raw,gallery_name_mos,source_workbook
1,淡色,TableStyleLight1,テーブル スタイル (淡色) 1,"白, テーブル スタイル (淡色) 1",白、テーブルスタイル（淡色）1,C:\Users\kouza\Desktop\MOS_類題_再作成_セット1_配送管理.xlsx
2,淡色,TableStyleLight2,テーブル スタイル (淡色) 2,"白, テーブル スタイル (淡色) 2",白、テーブルスタイル（淡色）2,C:\Users\kouza\Desktop\MOS_類題_再作成_セット1_配送管理.xlsx
3,淡色,TableStyleLight3,テーブル スタイル (淡色) 3,"白, テーブル スタイル (淡色) 3",白、テーブルスタイル（淡色）3,C:\Users\kouza\Desktop\MOS_類題_再作成_セット1_配送管理.xlsx
4,淡色,TableStyleLight4,テーブル スタイル (淡色) 4,"白, テーブル スタイル (淡色) 4",白、テーブルスタイル（淡色）4,C:\Users\kouza\Desktop\MOS_類題_再作成_セット1_配送管理.xlsx
5,淡色,TableStyleLight5,テーブル スタイル (淡色) 5,"白, テーブル スタイル (淡色) 5",白、テーブルスタイル（淡色）5,C:\Users\kouza\Desktop\MOS_類題_再作成_セット1_配送管理.xlsx
6,淡色,TableStyleLight6,テーブル スタイル (淡色) 6,"白, テーブル スタイル (淡色) 6",白、テーブルスタイル（淡色）6,C:\Users\kouza\Desktop\MOS_類題_再作成_セット1_配送管理.xlsx
7,淡色,TableStyleLight7,テーブル スタイル (淡色) 7,"白, テーブル スタイル (淡色) 7",白、テーブルスタイル（淡色）7,C:\Users\kouza\Desktop\MOS_類題_再作成_セット1_配送管理.xlsx
8,淡色,TableStyleLight8,テーブル スタイル (淡色) 8,"白, テーブル スタイル (淡色) 8",白、テーブルスタイル（淡色）8,C:\Users\kouza\Desktop\MOS_類題_再作成_セット1_配送管理.xlsx
9,淡色,TableStyleLight9,テーブル スタイル (淡色) 9,"青, テーブル スタイル (淡色) 9",青、テーブルスタイル（淡色）9,C:\Users\kouza\Desktop\MOS_類題_再作成_セット1_配送管理.xlsx
10,淡色,TableStyleLight10,テーブル スタイル (淡色) 10,"赤, テーブル スタイル (淡色) 10",赤、テーブルスタイル（淡色）10,C:\Users\kouza\Desktop\MOS_類題_再作成_セット1_配送管理.xlsx
