科目,プロジェクトID,タスクID,問題文,解答手順
PowerPoint,1,1,"あなたは英語教育プログラムのご提案資料を作成しています。
スライド４に、レイアウト「テーブルスライド」のスライドを挿入します。","スライド 3 を選択
↓
[ホーム]タブ
↓
[新しいスライド]の下側
をクリック
↓
[テーブルスライド]を選択"
PowerPoint,1,2,スライド４を非表示にします。,"スライド4を選択
↓
[スライドショー]タブ
↓
[非表示スライド]をクリック"
PowerPoint,1,3,"スライド５のレイアウトを「テキスト１スライド」に変更します。上側の［マスターテキストのスタイルを編集する］のプレースホルダーに「""英語教育を始めたばかりのケース""」と入力します","スライド5を選択
↓
[ホーム]タブ
↓
[レイアウト]をクリック
↓
[テキスト1スライド]を選択
↓
上側の[マスターテキストのス
タイルを編集する]のプレース
ホルダーを選択
↓
「英語教育を始めたばかりのケ
ース」と入力
↓
プレースホルダー以外の部分を
クリックし、選択を解除"
PowerPoint,1,4,スライド６の箇条書きを2段組みに変更します。,"スライド6を選択
↓
箇条書きのプレースホルダーを
選択
↓
[ホーム]タブ
↓
[段の追加または削除]を
クリック
↓
[2 段組み]をクリック
↓
プレースホルダー以外の部分をクリックし、選択を解除"
PowerPoint,1,5,"スライド８の箇条書きのプレースホルダーの文字の間隔を広げます。幅を「""4""pt」にします。","スライド8を選択
↓
箇条書きをドラッグ
↓
[ホーム]タブ
↓
[文字の間隔]をクリッ
ク
↓
[その他の間隔]を選択
↓
[文字幅と間隔]タブが選択
されていることを確認
↓
[幅]ボックスをクリックし
「4」と入力
↓
[間隔]ボックスが[文字間
隔を広げる]に変わったこと
を確認
↓
[OK]をクリック
↓
プレースホルダー以外の部分
をクリックし、選択を解除"
PowerPoint,1,6,"スライド８にセクションを追加します。セクション名は「""まとめ""」にします。","スライド8を選択
↓
[ホーム]タブ
↓
[セクション]をクリック
↓
[セクションの追加]を選択
↓
[セクション名]ボックスに
「まとめ」と入力
↓
[名前の変更]をクリック"
PowerPoint,1,7,"スライド１のセクション名を「""はじめに""」とします。","スライド1のセクション名
[タイトルなしのセクション]
を右クリック
↓
[セクション名の変更]をクリ
ック
↓
[セクション名]ボックスに
「はじめに」と入力
↓
[名前の変更]をクリック"
PowerPoint,1,8,"スライド１の後ろにサマリーズームスライドを挿入し［1.教育理念］、［4.募集要項］の各スライドへのリンクを作成します。スライド１と８へのリンクは含めません。タイトルに「""ご提案のポイント""」と入力します。","スライド1を選択
↓
[挿入]タブ
↓
[ズーム]をクリック
↓
[サマリーズーム]を選択
↓
[サマリーズームの挿入]ダイ
アログボックスが表示された
ことを確認
↓
[1.教育理念]をクリックし
てチェックボックスをオン
↓
[4.募集要項]をクリックし
てチェックボックスをオン
↓
スライド1[UP Rabbit 英語
教育...]をクリックしてチェ
ックボックスをオフ
↓
スライド8[6.教育理念のま
とめ]をクリックしてチェック
ボックスをオフ
↓
[挿入]をクリック
↓
スライド2のタイトルのプレー
スホルダーをクリックし、「ご
提案のポイント」と入力
↓
プレースホルダー以外の部分を
クリックし、選択を解除"
PowerPoint,2,1,"あなたはMOS合格対策講座のコースガイダンス資料を作成しています。
すべてのスライドに、画面切り替え「スプリット」を設定します。効果のオプションを「ワイプアウト（横）」にします。","[画面切り替え]タブ
↓
[スプリット]をクリック
↓
[効果のオプション]をクリッ
ク
↓
[ワイプアウト(横)]を選択
↓
[すべてに適用]をクリック"
PowerPoint,2,2,すべての画面切り替えの継続時間を3秒に設定します。,"[画面切り替え]タブ
↓
[期間]ボックスをクリック
↓
「3」と入力
↓
[すべてに適用]をクリック"
PowerPoint,2,3,スライド3、4、5に「切り替え」の画面切り替え効果を設定します。,"スライド 3 を選択
↓
[Shift]キーを押しながら
スライド5を選択
↓
[画面切り替え]タブ
↓
[切り替え効果]をクリック
↓
[切り替え]を選択"
PowerPoint,2,4,"すべてのスライドが、""５""秒後に自動で次のスライドへ進むように画面切り替えのタイミングを設定します。","[画面切り替え]タブ
↓
[自動]チェックボックスを
クリックしオン
↓
[自動]ボックスに「5」と
入力
↓
[すべてに適用]をクリック"
PowerPoint,2,5,スライド６の3Ｄモデル「黒板」に、アニメーション「ジャンプしてターン」を設定します。,"スライド6を選択
↓
黒板の3D モデルを選択
↓
[アニメーション]タブ
↓
[ジャンプしてターン]を選択"
PowerPoint,2,6,"スライド2の男の子と？マークの２つの画像が、スライドの左上隅から登場するようにします。アニメーションの継続時間は""0.55""秒にします。","スライド2を選択
↓
男の子の図を選択
↓
[Shift]キーを押しながら?
マークの図をクリック
↓
[アニメーション]タブ
↓
[効果のオプション]をクリッ
ク
↓
[左上から]を選択
↓
[継続時間]ボックスをクリッ
クし「0.55」と入力
↓
図以外の部分をクリックして
選択を解除"
PowerPoint,2,7,スライド「今年度募集について」の箇条書きに設定されたアニメーションの効果を「プラス」に変更します。また、クリックするとすべて同時に動くようにします。,"スライド6を選択
↓
箇条書きのプレースホルダー
を選択
↓
[アニメーション]タブ
↓
[効果のオプション]をクリッ
ク
↓
[プラス]を選択
↓
[効果のオプション]をクリッ
ク
↓
[すべて同時]を選択
↓
箇条書きのプレースホルダー
以外の部分をクリックして、
選択を解除"
PowerPoint,2,8,スライド４の星の図形にアニメーションの軌跡「ニュートロン」を設定します。円の図形にはアニメーションを設定しません。,"スライド4を選択
↓
星の図形を選択
↓
[アニメーション]タブ
↓
[アニメーションスタイル]
をクリック
↓
[その他のアニメーションの
軌跡効果]を選択
↓
[アニメーションの軌跡効果の
変更]ダイアログボックスから
[ニュートロン]を選択
↓
[OK]をクリック
↓
図形以外の部分をクリックして
選択を解除"
