no,style_family,internal_name,name_local,gallery_name_mos
1,濃色,TableStyleDark1,テーブル スタイル (濃色) 1,濃い灰色、テーブルスタイル（濃色）1
2,濃色,TableStyleDark2,テーブル スタイル (濃色) 2,濃い青、テーブルスタイル（濃色）2
3,濃色,TableStyleDark3,テーブル スタイル (濃色) 3,茶、テーブルスタイル（濃色）3
4,濃色,TableStyleDark4,テーブル スタイル (濃色) 4,灰色、テーブルスタイル（濃色）4
5,濃色,TableStyleDark5,テーブル スタイル (濃色) 5,濃い黄、テーブルスタイル（濃色）5
6,濃色,TableStyleDark6,テーブル スタイル (濃色) 6,青、テーブルスタイル（濃色）6
7,濃色,TableStyleDark7,テーブル スタイル (濃色) 7,濃い緑、テーブルスタイル（濃色）7
8,濃色,TableStyleDark8,テーブル スタイル (濃色) 8,薄い灰色、テーブルスタイル（濃色）8
9,濃色,TableStyleDark9,テーブル スタイル (濃色) 9,オレンジ、テーブルスタイル（濃色）9
10,濃色,TableStyleDark10,テーブル スタイル (濃色) 10,ゴールド、テーブルスタイル（濃色）10
11,濃色,TableStyleDark11,テーブル スタイル (濃色) 11,緑、テーブルスタイル（濃色）11
