テーブルスタイル（中間）ギャラリー表示名一覧（28件）
========================================================

No.  内部名                  ギャラリー表示名（MOS形式）
---  ------------------  ----------------------------------
  1.  TableStyleMedium1   白、テーブルスタイル（中間）1
  2.  TableStyleMedium2   濃い青緑、テーブルスタイル（中間）2
  3.  TableStyleMedium3   オレンジ、テーブルスタイル（中間）3
  4.  TableStyleMedium4   濃い緑、テーブルスタイル（中間）4
  5.  TableStyleMedium5   水色、テーブルスタイル（中間）5
  6.  TableStyleMedium6   プラム、テーブルスタイル（中間）6
  7.  TableStyleMedium7   緑、テーブルスタイル（中間）7
  8.  TableStyleMedium8   薄い灰色、テーブルスタイル（中間）8
  9.  TableStyleMedium9   濃い青緑、テーブルスタイル（中間）9
 10.  TableStyleMedium10  オレンジ、テーブルスタイル（中間）10
 11.  TableStyleMedium11  濃い緑、テーブルスタイル（中間）11
 12.  TableStyleMedium12  水色、テーブルスタイル（中間）12
 13.  TableStyleMedium13  プラム、テーブルスタイル（中間）13
 14.  TableStyleMedium14  緑、テーブルスタイル（中間）14
 15.  TableStyleMedium15  白、テーブルスタイル（中間）15
 16.  TableStyleMedium16  濃い青緑、テーブルスタイル（中間）16
 17.  TableStyleMedium17  オレンジ、テーブルスタイル（中間）17
 18.  TableStyleMedium18  濃い緑、テーブルスタイル（中間）18
 19.  TableStyleMedium19  水色、テーブルスタイル（中間）19
 20.  TableStyleMedium20  プラム、テーブルスタイル（中間）20
 21.  TableStyleMedium21  緑、テーブルスタイル（中間）21
 22.  TableStyleMedium22  薄い灰色、テーブルスタイル（中間）22
 23.  TableStyleMedium23  薄い水色、テーブルスタイル（中間）23
 24.  TableStyleMedium24  薄いオレンジ、テーブルスタイル（中間）24
 25.  TableStyleMedium25  薄い緑、テーブルスタイル（中間）25
 26.  TableStyleMedium26  薄い水色、テーブルスタイル（中間）26
 27.  TableStyleMedium27  ピンク、テーブルスタイル（中間）27
 28.  TableStyleMedium28  薄い緑、テーブルスタイル（中間）28

個別スクショ: task/table_style_capture/screenshots/TableStyleMedium1.png ～
一覧合成画像: task/table_style_capture/screenshots/TableStyleMedium_一覧.png
