internal_name,gallery_name_mos,gallery_name_raw,name_local,screenshot
TableStyleLight1,白、テーブルスタイル（淡色）1,"白, テーブル スタイル (淡色) 1",テーブル スタイル (淡色) 1,screenshots/TableStyleLight1.png
TableStyleLight2,薄い水色、テーブルスタイル（淡色）2,"薄い水色, テーブル スタイル (淡色) 2",テーブル スタイル (淡色) 2,screenshots/TableStyleLight2.png
TableStyleLight3,薄いオレンジ、テーブルスタイル（淡色）3,"薄いオレンジ, テーブル スタイル (淡色) 3",テーブル スタイル (淡色) 3,screenshots/TableStyleLight3.png
TableStyleLight4,薄い緑、テーブルスタイル（淡色）4,"薄い緑, テーブル スタイル (淡色) 4",テーブル スタイル (淡色) 4,screenshots/TableStyleLight4.png
TableStyleLight5,薄い水色、テーブルスタイル（淡色）5,"薄い水色, テーブル スタイル (淡色) 5",テーブル スタイル (淡色) 5,screenshots/TableStyleLight5.png
TableStyleLight6,ピンク、テーブルスタイル（淡色）6,"ピンク, テーブル スタイル (淡色) 6",テーブル スタイル (淡色) 6,screenshots/TableStyleLight6.png
TableStyleLight7,薄い緑、テーブルスタイル（淡色）7,"薄い緑, テーブル スタイル (淡色) 7",テーブル スタイル (淡色) 7,screenshots/TableStyleLight7.png
TableStyleLight8,白、テーブルスタイル（淡色）8,"白, テーブル スタイル (淡色) 8",テーブル スタイル (淡色) 8,screenshots/TableStyleLight8.png
TableStyleLight9,濃い青緑、テーブルスタイル（淡色）9,"濃い青緑, テーブル スタイル (淡色) 9",テーブル スタイル (淡色) 9,screenshots/TableStyleLight9.png
TableStyleLight10,オレンジ、テーブルスタイル（淡色）10,"オレンジ, テーブル スタイル (淡色) 10",テーブル スタイル (淡色) 10,screenshots/TableStyleLight10.png
TableStyleLight11,濃い緑、テーブルスタイル（淡色）11,"濃い緑, テーブル スタイル (淡色) 11",テーブル スタイル (淡色) 11,screenshots/TableStyleLight11.png
TableStyleLight12,水色、テーブルスタイル（淡色）12,"水色, テーブル スタイル (淡色) 12",テーブル スタイル (淡色) 12,screenshots/TableStyleLight12.png
TableStyleLight13,プラム、テーブルスタイル（淡色）13,"プラム, テーブル スタイル (淡色) 13",テーブル スタイル (淡色) 13,screenshots/TableStyleLight13.png
TableStyleLight14,緑、テーブルスタイル（淡色）14,"緑, テーブル スタイル (淡色) 14",テーブル スタイル (淡色) 14,screenshots/TableStyleLight14.png
TableStyleLight15,白、テーブルスタイル（淡色）15,"白, テーブル スタイル (淡色) 15",テーブル スタイル (淡色) 15,screenshots/TableStyleLight15.png
TableStyleLight16,薄い水色、テーブルスタイル（淡色）16,"薄い水色, テーブル スタイル (淡色) 16",テーブル スタイル (淡色) 16,screenshots/TableStyleLight16.png
TableStyleLight17,薄いオレンジ、テーブルスタイル（淡色）17,"薄いオレンジ, テーブル スタイル (淡色) 17",テーブル スタイル (淡色) 17,screenshots/TableStyleLight17.png
TableStyleLight18,薄い緑、テーブルスタイル（淡色）18,"薄い緑, テーブル スタイル (淡色) 18",テーブル スタイル (淡色) 18,screenshots/TableStyleLight18.png
TableStyleLight19,薄い水色、テーブルスタイル（淡色）19,"薄い水色, テーブル スタイル (淡色) 19",テーブル スタイル (淡色) 19,screenshots/TableStyleLight19.png
TableStyleLight20,ピンク、テーブルスタイル（淡色）20,"ピンク, テーブル スタイル (淡色) 20",テーブル スタイル (淡色) 20,screenshots/TableStyleLight20.png
TableStyleLight21,薄い緑、テーブルスタイル（淡色）21,"薄い緑, テーブル スタイル (淡色) 21",テーブル スタイル (淡色) 21,screenshots/TableStyleLight21.png
