no,style_family,internal_name,gallery_name_mos
1,中間,TableStyleMedium1,白、テーブルスタイル（中間）1
2,中間,TableStyleMedium2,濃い青緑、テーブルスタイル（中間）2
3,中間,TableStyleMedium3,オレンジ、テーブルスタイル（中間）3
4,中間,TableStyleMedium4,濃い緑、テーブルスタイル（中間）4
5,中間,TableStyleMedium5,水色、テーブルスタイル（中間）5
6,中間,TableStyleMedium6,プラム、テーブルスタイル（中間）6
7,中間,TableStyleMedium7,緑、テーブルスタイル（中間）7
8,中間,TableStyleMedium8,薄い灰色、テーブルスタイル（中間）8
9,中間,TableStyleMedium9,濃い青緑、テーブルスタイル（中間）9
10,中間,TableStyleMedium10,オレンジ、テーブルスタイル（中間）10
11,中間,TableStyleMedium11,濃い緑、テーブルスタイル（中間）11
12,中間,TableStyleMedium12,水色、テーブルスタイル（中間）12
13,中間,TableStyleMedium13,プラム、テーブルスタイル（中間）13
14,中間,TableStyleMedium14,緑、テーブルスタイル（中間）14
15,中間,TableStyleMedium15,白、テーブルスタイル（中間）15
16,中間,TableStyleMedium16,濃い青緑、テーブルスタイル（中間）16
17,中間,TableStyleMedium17,オレンジ、テーブルスタイル（中間）17
18,中間,TableStyleMedium18,濃い緑、テーブルスタイル（中間）18
19,中間,TableStyleMedium19,水色、テーブルスタイル（中間）19
20,中間,TableStyleMedium20,プラム、テーブルスタイル（中間）20
21,中間,TableStyleMedium21,緑、テーブルスタイル（中間）21
22,中間,TableStyleMedium22,薄い灰色、テーブルスタイル（中間）22
23,中間,TableStyleMedium23,薄い水色、テーブルスタイル（中間）23
24,中間,TableStyleMedium24,薄いオレンジ、テーブルスタイル（中間）24
25,中間,TableStyleMedium25,薄い緑、テーブルスタイル（中間）25
26,中間,TableStyleMedium26,薄い水色、テーブルスタイル（中間）26
27,中間,TableStyleMedium27,ピンク、テーブルスタイル（中間）27
28,中間,TableStyleMedium28,薄い緑、テーブルスタイル（中間）28
