no,style_family,internal_name,name_local,gallery_name_mos
1,淡色,TableStyleLight1,テーブル スタイル (淡色) 1,白、テーブルスタイル（淡色）1
2,淡色,TableStyleLight2,テーブル スタイル (淡色) 2,白、テーブルスタイル（淡色）2
3,淡色,TableStyleLight3,テーブル スタイル (淡色) 3,白、テーブルスタイル（淡色）3
4,淡色,TableStyleLight4,テーブル スタイル (淡色) 4,白、テーブルスタイル（淡色）4
5,淡色,TableStyleLight5,テーブル スタイル (淡色) 5,白、テーブルスタイル（淡色）5
6,淡色,TableStyleLight6,テーブル スタイル (淡色) 6,白、テーブルスタイル（淡色）6
7,淡色,TableStyleLight7,テーブル スタイル (淡色) 7,白、テーブルスタイル（淡色）7
8,淡色,TableStyleLight8,テーブル スタイル (淡色) 8,白、テーブルスタイル（淡色）8
9,淡色,TableStyleLight9,テーブル スタイル (淡色) 9,青、テーブルスタイル（淡色）9
10,淡色,TableStyleLight10,テーブル スタイル (淡色) 10,赤、テーブルスタイル（淡色）10
11,淡色,TableStyleLight11,テーブル スタイル (淡色) 11,オリーブ、テーブルスタイル（淡色）11
12,淡色,TableStyleLight12,テーブル スタイル (淡色) 12,紫、テーブルスタイル（淡色）12
13,淡色,TableStyleLight13,テーブル スタイル (淡色) 13,アクア、テーブルスタイル（淡色）13
14,淡色,TableStyleLight14,テーブル スタイル (淡色) 14,オレンジ、テーブルスタイル（淡色）14
15,淡色,TableStyleLight15,テーブル スタイル (淡色) 15,白、テーブルスタイル（淡色）15
16,淡色,TableStyleLight16,テーブル スタイル (淡色) 16,白、テーブルスタイル（淡色）16
17,淡色,TableStyleLight17,テーブル スタイル (淡色) 17,白、テーブルスタイル（淡色）17
18,淡色,TableStyleLight18,テーブル スタイル (淡色) 18,白、テーブルスタイル（淡色）18
19,淡色,TableStyleLight19,テーブル スタイル (淡色) 19,白、テーブルスタイル（淡色）19
20,淡色,TableStyleLight20,テーブル スタイル (淡色) 20,白、テーブルスタイル（淡色）20
21,淡色,TableStyleLight21,テーブル スタイル (淡色) 21,白、テーブルスタイル（淡色）21
